hour_of_year,timestamp,load_mwh,wind_speed_m_s,solar_radiation_kw_m2
1,2023-01-01 00:00:00,21.23946396251068,6.52,0.0
2,2023-01-01 01:00:00,19.91199746485376,6.74,0.0
3,2023-01-01 02:00:00,20.70847736344791,7.0,0.0
4,2023-01-01 03:00:00,21.23946396251068,7.03,0.0
5,2023-01-01 04:00:00,22.03594386110483,6.81,0.0
6,2023-01-01 05:00:00,22.83242375969898,7.13,0.0
7,2023-01-01 06:00:00,23.62890365829313,7.27,0.0
8,2023-01-01 07:00:00,23.89439695782451,7.32,0.0
9,2023-01-01 08:00:00,24.42538355688728,7.31,0.046
10,2023-01-01 09:00:00,25.221863455481422,7.29,0.239
11,2023-01-01 10:00:00,24.95637015595005,7.15,0.441
12,2023-01-01 11:00:00,25.48735675501281,6.77,0.595
13,2023-01-01 12:00:00,25.48735675501281,6.8,0.727
14,2023-01-01 13:00:00,24.95637015595005,7.19,0.767
15,2023-01-01 14:00:00,23.89439695782451,7.78,0.739
16,2023-01-01 15:00:00,23.89439695782451,7.83,0.621
17,2023-01-01 16:00:00,24.690876856418654,7.68,0.444
18,2023-01-01 17:00:00,25.48735675501281,7.42,0.237
19,2023-01-01 18:00:00,26.549329953138344,7.7,0.073
20,2023-01-01 19:00:00,26.549329953138344,8.14,0.002
21,2023-01-01 20:00:00,26.28383665360696,8.1,0.0
22,2023-01-01 21:00:00,24.95637015595005,8.14,0.0
23,2023-01-01 22:00:00,22.30143716063621,8.08,0.0
24,2023-01-01 23:00:00,22.03594386110483,8.54,0.0
25,2023-01-02 00:00:00,30.082055409239292,8.86,0.0
26,2023-01-02 01:00:00,28.20192694616184,8.93,0.0
27,2023-01-02 02:00:00,29.330004024008307,8.79,0.0
28,2023-01-02 03:00:00,30.082055409239292,9.12,0.0
29,2023-01-02 04:00:00,31.210132487085765,9.54,0.0
30,2023-01-02 05:00:00,32.33820956493224,9.47,0.0
31,2023-01-02 06:00:00,33.46628664277871,9.69,0.0
32,2023-01-02 07:00:00,33.842312335394205,9.92,0.0
33,2023-01-02 08:00:00,34.59436372062519,9.97,0.053
34,2023-01-02 09:00:00,35.72244079847166,9.6,0.213
35,2023-01-02 10:00:00,35.346415105856174,9.14,0.421
36,2023-01-02 11:00:00,36.09846649108715,8.41,0.592
37,2023-01-02 12:00:00,36.09846649108715,7.96,0.712
38,2023-01-02 13:00:00,35.346415105856174,7.84,0.748
39,2023-01-02 14:00:00,33.842312335394205,7.64,0.735
40,2023-01-02 15:00:00,33.842312335394205,7.41,0.595
41,2023-01-02 16:00:00,34.97038941324068,7.32,0.391
42,2023-01-02 17:00:00,36.09846649108715,7.41,0.2
43,2023-01-02 18:00:00,37.60256926154912,7.63,0.053
