hour_of_year,timestamp,wind_speed_100m_m_s,solar_radiation_w_m2,solar_radiation_kw_m2,source
1,2023-01-01 00:00:00,6.52,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
2,2023-01-01 01:00:00,6.74,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
3,2023-01-01 02:00:00,7.0,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4,2023-01-01 03:00:00,7.03,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
5,2023-01-01 04:00:00,6.81,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
6,2023-01-01 05:00:00,7.13,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
7,2023-01-01 06:00:00,7.27,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
8,2023-01-01 07:00:00,7.32,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
9,2023-01-01 08:00:00,7.31,46.0,0.046,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
10,2023-01-01 09:00:00,7.29,239.0,0.239,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
11,2023-01-01 10:00:00,7.15,441.0,0.441,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
12,2023-01-01 11:00:00,6.77,595.0,0.595,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
13,2023-01-01 12:00:00,6.8,727.0,0.727,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
14,2023-01-01 13:00:00,7.19,767.0,0.767,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
15,2023-01-01 14:00:00,7.78,739.0,0.739,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
16,2023-01-01 15:00:00,7.83,621.0,0.621,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
17,2023-01-01 16:00:00,7.68,444.0,0.444,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
18,2023-01-01 17:00:00,7.42,237.0,0.237,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
19,2023-01-01 18:00:00,7.7,73.0,0.073,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
20,2023-01-01 19:00:00,8.14,2.0,0.002,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
21,2023-01-01 20:00:00,8.1,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
22,2023-01-01 21:00:00,8.14,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
23,2023-01-01 22:00:00,8.08,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
24,2023-01-01 23:00:00,8.54,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
25,2023-01-02 00:00:00,8.86,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
26,2023-01-02 01:00:00,8.93,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
27,2023-01-02 02:00:00,8.79,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
28,2023-01-02 03:00:00,9.12,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
29,2023-01-02 04:00:00,9.54,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
30,2023-01-02 05:00:00,9.47,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
31,2023-01-02 06:00:00,9.69,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
32,2023-01-02 07:00:00,9.92,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
33,2023-01-02 08:00:00,9.97,53.0,0.053,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
34,2023-01-02 09:00:00,9.6,213.0,0.213,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
35,2023-01-02 10:00:00,9.14,421.0,0.421,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
36,2023-01-02 11:00:00,8.41,592.0,0.592,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
37,2023-01-02 12:00:00,7.96,712.0,0.712,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
38,2023-01-02 13:00:00,7.84,748.0,0.748,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
39,2023-01-02 14:00:00,7.64,735.0,0.735,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
40,2023-01-02 15:00:00,7.41,595.0,0.595,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
41,2023-01-02 16:00:00,7.32,391.0,0.391,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
42,2023-01-02 17:00:00,7.41,200.0,0.2,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
43,2023-01-02 18:00:00,7.63,53.0,0.053,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
44,2023-01-02 19:00:00,8.28,2.0,0.002,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
45,2023-01-02 20:00:00,8.99,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
46,2023-01-02 21:00:00,9.06,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
47,2023-01-02 22:00:00,9.25,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
48,2023-01-02 23:00:00,9.01,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
49,2023-01-03 00:00:00,8.99,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
50,2023-01-03 01:00:00,9.49,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
51,2023-01-03 02:00:00,9.94,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
52,2023-01-03 03:00:00,10.22,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
53,2023-01-03 04:00:00,10.57,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
54,2023-01-03 05:00:00,10.92,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
55,2023-01-03 06:00:00,10.99,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
56,2023-01-03 07:00:00,10.85,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
57,2023-01-03 08:00:00,10.83,57.0,0.057,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
