hour_of_year,timestamp,date,month,weekday,weekday_number,hour,equivalent_day,dtu_profile_value,load_mw,energy_mwh,cumulative_energy_mwh,source_method
1,2023-01-01 00:00:00,2023-01-01,1,Sunday,7,0,7,50.30816400000001,21.239463962510676,21.239463962510676,21.239463962510676,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2,2023-01-01 01:00:00,2023-01-01,1,Sunday,7,1,7,47.16390375000001,19.91199746485376,19.91199746485376,41.15146142736444,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
3,2023-01-01 02:00:00,2023-01-01,1,Sunday,7,2,7,49.050459900000014,20.70847736344791,20.70847736344791,61.85993879081235,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
4,2023-01-01 03:00:00,2023-01-01,1,Sunday,7,3,7,50.30816400000001,21.239463962510676,21.239463962510676,83.09940275332303,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
5,2023-01-01 04:00:00,2023-01-01,1,Sunday,7,4,7,52.194720150000016,22.03594386110483,22.03594386110483,105.13534661442786,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
6,2023-01-01 05:00:00,2023-01-01,1,Sunday,7,5,7,54.08127630000001,22.83242375969898,22.83242375969898,127.96777037412684,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
7,2023-01-01 06:00:00,2023-01-01,1,Sunday,7,6,7,55.967832450000024,23.62890365829313,23.62890365829313,151.59667403241997,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
8,2023-01-01 07:00:00,2023-01-01,1,Sunday,7,7,7,56.59668450000001,23.89439695782451,23.89439695782451,175.49107099024448,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
9,2023-01-01 08:00:00,2023-01-01,1,Sunday,7,8,7,57.854388600000014,24.42538355688728,24.42538355688728,199.91645454713176,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
10,2023-01-01 09:00:00,2023-01-01,1,Sunday,7,9,7,59.74094475000001,25.221863455481426,25.221863455481426,225.13831800261318,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
11,2023-01-01 10:00:00,2023-01-01,1,Sunday,7,10,7,59.11209270000003,24.95637015595005,24.95637015595005,250.09468815856323,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
12,2023-01-01 11:00:00,2023-01-01,1,Sunday,7,11,7,60.369796800000024,25.487356755012815,25.487356755012815,275.58204491357606,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
